Reference, Value, Footprint, Datasheet, MPN,MPN,count,
JP2,Jumper_NO_Small,Resistors_SMD:R_0402,,n/a, ,,
JP4,Tie,hlib:NetTie-I_Connected_SMD,,n/a,n/a,,
L1,22u,Inductors:Inductor_Taiyo-Yuden_NR-60xx,,NR6045T220M,NR6045T220M,1,
D3,D_Schottky,Diodes_SMD:D_SOD-123F,,NRVTS260ESFT1G,NRVTS260ESFT1G,1,
R19,10k,Resistors_SMD:R_0201,,RC0201JR-0710KL, ,,
R20,10k,Resistors_SMD:R_0201,,RC0201JR-0710KL, ,,
R21,10k,Resistors_SMD:R_0201,,RC0201JR-0710KL, ,,
R9,10k,Resistors_SMD:R_0201,,RC0201JR-0710KL,RC0201JR-0710KL,4,
R22,220k,Resistors_SMD:R_0201,,RC0201JR-07220KL,RC0201JR-07220KL,1,
R7,2k,Resistors_SMD:R_0402,,RC0402JR-072KL, ,,
R8,2k,Resistors_SMD:R_0402,,RC0402JR-072KL,RC0402JR-072KL,2,
R23,2R2,Resistors_SMD:R_0402,,RC0402JR-072R2L, ,,
R24,2R2,Resistors_SMD:R_0402,,RC0402JR-072R2L, ,,
R28,2R2,Resistors_SMD:R_0402,,RC0402JR-072R2L, ,,
R29,2R2,Resistors_SMD:R_0402,,RC0402JR-072R2L, ,,
R30,2R2,Resistors_SMD:R_0402,,RC0402JR-072R2L, ,,
R31,2R2,Resistors_SMD:R_0402,,RC0402JR-072R2L,RC0402JR-072R2L,6,
R13,2k7,Resistors_SMD:R_0201,,RC0603F272CS, ,,
R14,2k7,Resistors_SMD:R_0201,,RC0603F272CS, ,,
R15,2k7,Resistors_SMD:R_0201,,RC0603F272CS, ,,
R2,2k7,Resistors_SMD:R_0201,,RC0603F272CS,RC0603F272CS,4,
R17,3k3,Resistors_SMD:R_0201,,RC0603F332CS,RC0603F332CS,1,
R1,47k,Resistors_SMD:R_0603,,RC0603JR-074K7L, ,,
R10,47k,Resistors_SMD:R_0603,,RC0603JR-074K7L, ,,
R11,47k,Resistors_SMD:R_0603,,RC0603JR-074K7L, ,,
R12,47k,Resistors_SMD:R_0603,,RC0603JR-074K7L,RC0603JR-074K7L,4,
J2,TEMP,Connectors_JST:JST_SH_SM02B-SRSS-TB_02x1.00mm_Angled,,SM02B-SRSS-TB(LF)(SN),SM02B-SRSS-TB(LF)(SN),1,
J6,CAN,Connectors_JST:JST_SH_SM04B-SRSS-TB_04x1.00mm_Angled,,SM04B-SRSS-TB(LF)(SN), ,,
J7,I2C,Connectors_JST:JST_SH_SM04B-SRSS-TB_04x1.00mm_Angled,,SM04B-SRSS-TB(LF)(SN),SM04B-SRSS-TB(LF)(SN),2,
P2,SWD,Connectors_JST:JST_SH_SM05B-SRSS-TB_05x1.00mm_Angled,,SM05B-SRSS-TB(LF)(SN),SM05B-SRSS-TB(LF)(SN),1,
J1,More IO,Connectors_JST:JST_SH_SM12B-SRSS-TB_12x1.00mm_Angled,,SM12B-SRSS-TB(LF)(SN),SM12B-SRSS-TB(LF)(SN),1,
U1,STM32F042C6T6,Housings_QFP:LQFP-48_7x7mm_Pitch0.5mm,,STM32F042C6T6,STM32F042C6T6,1,
